,Jeu,Commentaire,Commentaire_English
147,Grand Theft Auto VI,"2 months later, I never get tired rewatching this trailer again",en
148,Grand Theft Auto VI,"Been through 3 major GTA releases since first playing San Andreas. 
GTA IV 16 years old
GTA V 21 years old
GTA VI 32 years old",en
149,Grand Theft Auto VI,It's been about 3 months since this came out and still get goose bumps watching it ,en
150,Grand Theft Auto VI,Not even a gta fan but this looks amazing,en
151,Grand Theft Auto VI,This looks so good I can't wait any longer I want to play it now I want this game so bad,en
152,Grand Theft Auto VI,"Começou bem já, acertou em cheio na trilha sonora, como sempre... Perfect",pt
153,Grand Theft Auto VI,I've waited 12 years in that time travelled got married had a baby and I'm still waiting lol,en
154,Grand Theft Auto VI,Now this old song will be related to gta forever and ever  …,en
155,Grand Theft Auto VI,This game is gonna make history.,en
156,Grand Theft Auto VI,I’m watching this trailer every single day till this game comes out idgaf,en
157,Grand Theft Auto VI,who is here on the 7th of february? ,en
158,Grand Theft Auto VI,Soon this finna be the most viewed video in all of social media ️️️️,en
159,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.;
#RockstarGamesScammers
#RIPRockstarGames",en
160,Grand Theft Auto VI,"2 months later, I'm still watching this masterpiece trailer!!!",en
161,Grand Theft Auto VI,72M views in just 16h is absolutely crazy. This is not only the most anticipated game ever but might even be the most anticipated piece of media ever. The hype is more than real.,en
162,Grand Theft Auto VI,Can't freakin' wait for this masterpiece,en
163,Grand Theft Auto VI,"I can definitely  Wait till Next Year.
For Grand Theft Auto VI",en
164,Grand Theft Auto VI,We waited 10 years for it.,en
165,Grand Theft Auto VI,"Just finished rdr2. Started it 2-3 times and could not get a grip on it, then it finaly clicked! I cant WAIT for rockstar's next game 

Fingers crossed rdr3 is next after this insane looking gem",en
166,Grand Theft Auto VI,now were gonna have to wait 2 decades for gta 7 ,en
167,Grand Theft Auto VI,It's crazy that even as adults these trailers still make us feel like kids again,en
168,Grand Theft Auto VI,Germany loves GTA for a long time. ,en
169,Grand Theft Auto VI,I check this every day just to make sure it wasn't just a dream.,en
170,Grand Theft Auto VI,"I’m so pumped up and excited for this, I just hope that I’ll be alive by the time it comes out and I’ll be graduated by then.",en
171,Grand Theft Auto VI,Day 63 of rewatching this trailer,en
172,Grand Theft Auto VI,"I want to give a huge thank you to Michael, Franklin, and Trevor for keeping us company for 12 years..️",en
173,Grand Theft Auto VI,If we don't get a trevor-like character Imma be mad,en
174,Grand Theft Auto VI,I remember when the GTA 5 trailer dropped I was still in school was hyped AF can't believe it's been 12 years,en
175,Grand Theft Auto VI,„Well look who’s back!“ hits hard tbh,en
176,Grand Theft Auto VI,I weep everytime I come to this trailer. I lost three brothers who waited forever for this. Now it’s only me,en
177,Grand Theft Auto VI,Can't stop watching it it's so GOOOOOOOD,en
178,Grand Theft Auto VI,Es justo por lo cual sigo con vida para jugar esta obra maestra de rockstar games,es
179,Grand Theft Auto VI,Been repeating this for the past 2 months can’t wait till 2025,en
180,Grand Theft Auto VI,We are waiting for the second trailer !!  ,en
181,Grand Theft Auto VI,It's been a month  oh my god I'm so excited I can't wait ,en
182,Grand Theft Auto VI,"“GTA, GTA, WE GOTTA TALK, TAKE TWO WE GOTTA TALK, OR NOT I NEED A MILL OR TWO",en
183,Grand Theft Auto VI,The best thing about being 30 is that 1-2 years doesn't seem that long anymore,en
184,Grand Theft Auto VI,I feel like the wait is eternal ️,en
185,Grand Theft Auto VI,The day i stop coming back to this tralier is the day u will know that im dead,en
186,Grand Theft Auto VI,"Yes, after many years it finally came out🥹",en
187,Grand Theft Auto VI,Coming back to this 2 months later and still getting goose bumps is crazyy🫴 rockstar did it again,en
188,Grand Theft Auto VI,This is one of the best video game trailers I've seen so far.,en
189,Grand Theft Auto VI,Everytime you watch this trailer it brings you a minute & 30 seconds closer to the game release,en
190,Grand Theft Auto VI,74 Million in 17 hours is CRAZY. Shows how much anticipated and iconic this series is.,en
191,Grand Theft Auto VI,86 million views in only 22 hours is insane. Goes to show how anticipated and iconic this series truly is.,en
192,Grand Theft Auto VI,50 Million in 10 hours is CRAZY. Shows how much anticipated and iconic this series is.,en
193,Grand Theft Auto VI,This is the start of a new era,en
194,Grand Theft Auto VI,Everytime you watch this trailer it brings you a minute & 30 seconds closer to the game release,en
195,Grand Theft Auto VI,72 million views in only 16 hours is insane. Goes to show how anticipated and iconic this series truly is.,en
196,Grand Theft Auto VI,"95 million views in only 24 hours is insane.

Goes to show how anticipated and iconic this series truly is.",en
197,Grand Theft Auto VI,82 million views in only 20 hours is insane. Goes to show how anticipated and iconic this series truly is.,en
198,Grand Theft Auto VI,"82 million views in only 20 hours is insane.
Goes to show how anticipated and iconic this series truly is.",en
199,Grand Theft Auto VI,70 Million in 16 hours is CRAZY. Shows how much anticipated and iconic this series is.,en
200,Grand Theft Auto VI,"My best friend got me GTA The Trilogy: Definitive Edition on PS4 for Christmas, and I'm loving it. I love Vice City and I hope we get Flash FM back, that would be awesome.",en
201,Grand Theft Auto VI,",We will never forget or forgive the betrayal of Rockstar Games,

#RockstarGamesScammers

#RIPRockstarGames",en
202,Grand Theft Auto VI,I’ve watched this every day,en
203,Grand Theft Auto VI,Most of us...the journey began from VICE CITY. Quite a journey 🫠,en
204,Grand Theft Auto VI,It's crazy that even as adults these still makes us feel like teenagers again.,en
205,Grand Theft Auto VI,Still can't wait been seing this thing and all everyday,en
206,Grand Theft Auto VI,"We are currently living in an acceptable timeline. So far, so good.",en
207,Grand Theft Auto VI,This is the power of Gaming Industries,en
208,Grand Theft Auto VI,hey i was just born for this masterpiece,en
209,Grand Theft Auto VI,They should add celebrities walking down the street with cameras in there face LOL,en
210,Grand Theft Auto VI,1 month later and this trailer already feels nostalgic,en
211,Grand Theft Auto VI,"Since the age of 9, Been playing GTA !! No words !! #GTAFOREVER !! ",en
212,Grand Theft Auto VI,"I announce to you, future game of the decade !",en
213,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
214,Grand Theft Auto VI,"Yeaah, it looks pretty good, can't wait to see what it really looks like.",en
215,Grand Theft Auto VI,"We will never forget or forgive the betrayal of Rockstar Games.,

#RockstarGamesScammers

#RIPRockstarGames`",en
