Name,Year,Year_Global_Sales,Global_Sales
GTA Vice City,2002,2018,35.6
GTA Vice City,2002,2019,35.6
GTA Vice City,2002,2020,35.6
GTA Vice City,2002,2021,35.6
GTA Vice City,2002,2022,35.6
GTA San Andreas,2004,2023,27.5
GTA San Andreas,2004,1997,0.0
GTA San Andreas,2004,1998,0.0
GTA San Andreas,2004,1999,0.0
GTA San Andreas,2004,2000,0.0
GTA San Andreas,2004,2001,0.0
GTA San Andreas,2004,2002,0.0
GTA San Andreas,2004,2003,0.0
GTA San Andreas,2004,2004,27.5
GTA San Andreas,2004,2005,27.5
GTA San Andreas,2004,2006,27.5
GTA San Andreas,2004,2007,27.5
GTA San Andreas,2004,2008,27.5
GTA San Andreas,2004,2009,27.5
GTA San Andreas,2004,2010,27.5
GTA San Andreas,2004,2011,27.5
GTA San Andreas,2004,2012,27.5
GTA San Andreas,2004,2013,27.5
GTA San Andreas,2004,2014,27.5
GTA San Andreas,2004,2015,27.5
GTA San Andreas,2004,2016,27.5
GTA San Andreas,2004,2017,27.5
GTA San Andreas,2004,2018,27.5
GTA San Andreas,2004,2019,27.5
GTA San Andreas,2004,2020,27.5
GTA San Andreas,2004,2021,27.5
GTA San Andreas,2004,2022,27.5
GTA IV,2008,2023,25.0
GTA IV,2008,1997,0.0
GTA IV,2008,1998,0.0
GTA IV,2008,1999,0.0
GTA IV,2008,2000,0.0
GTA IV,2008,2001,0.0
GTA IV,2008,2002,0.0
GTA IV,2008,2003,0.0
GTA IV,2008,2004,0.0
GTA IV,2008,2005,0.0
GTA IV,2008,2006,0.0
GTA IV,2008,2007,0.0
GTA IV,2008,2008,25.0
GTA IV,2008,2009,25.0
GTA IV,2008,2010,25.0
GTA IV,2008,2011,25.0
GTA IV,2008,2012,25.0
GTA IV,2008,2013,25.0
GTA IV,2008,2014,25.0
GTA IV,2008,2015,25.0
GTA IV,2008,2016,25.0
GTA IV,2008,2017,25.0
GTA IV,2008,2018,25.0
GTA IV,2008,2019,25.0
GTA IV,2008,2020,25.0
GTA IV,2008,2021,25.0
GTA IV,2008,2022,25.0
GTA V,2013,2023,160.0
GTA V,2013,1997,0.0
GTA V,2013,1998,0.0
GTA V,2013,1999,0.0
GTA V,2013,2000,0.0
GTA V,2013,2001,0.0
GTA V,2013,2002,0.0
GTA V,2013,2003,0.0
GTA V,2013,2004,0.0
GTA V,2013,2005,0.0
GTA V,2013,2006,0.0
GTA V,2013,2007,0.0
GTA V,2013,2008,0.0
GTA V,2013,2009,0.0
GTA V,2013,2010,0.0
GTA V,2013,2011,0.0
GTA V,2013,2012,0.0
GTA V,2013,2013,32.5
GTA V,2013,2014,45.0
GTA V,2013,2015,60.0
GTA V,2013,2016,90.0
GTA V,2013,2017,100.0
GTA V,2013,2018,120.0
GTA V,2013,2019,135.0
GTA V,2013,2020,145.0
GTA V,2013,2021,150.0
GTA V,2013,2022,155.0
